SecurityCode,companyName
500002,ABB India Limited
500003,AEGIS LOGISTICS LTD.
500008,Amara Raja Energy & Mobility Ltd
500009,AMBALAL SARABHAI ENTERPRISES LTD.
500012,ANDHRA PETROCHEMICALS LTD.
500014,Utique Enterprises Ltd
500016,ARUNA HOTELS LTD.
500020,BOMBAY DYEING & MFG.CO.LTD.
500023,Asian Hotels (North) Limited
500027,ATUL LTD.
500028,ATV PROJECTS INDIA LTD.
500031,BAJAJ ELECTRICALS LTD.-$
500032,Bajaj Hindusthan Sugar Limited
500033,FORCE MOTORS LTD.-$
500034,Bajaj Finance Limited
500038,BALRAMPUR CHINI MILLS LTD.
500039,BANCO PRODUCTS (INDIA) LTD.-$
500040,CENTURY TEXTILES & INDUSTRIES LTD.
500041,BANNARI AMMAN SUGARS LTD.
500042,BASF INDIA LTD.
500043,BATA INDIA LTD.
500048,BEML LTD.
500049,BHARAT ELECTRONICS LTD.
500052,BHANSALI ENGINEERING POLYMERS LTD.-$
500058,BIHAR SPONGE IRON LTD.
500059,BINANI INDUSTRIES LTD.
500060,Birla Cable Ltd
500067,BLUE STAR LTD.
500068,DISA INDIA LTD.
500069,Quest Capital Markets Ltd
500074,BPL LTD.
500078,Oriental Aromatics Ltd-$
500083,CENTURY EXTRUSIONS LTD.
500084,CESC LTD.
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.
500086,EXIDE INDUSTRIES LTD.
500087,CIPLA LTD.
500089,DIC INDIA LTD.
500092,CRISIL LTD.
500093,CG Power and Industrial Solutions Ltd
500096,DABUR INDIA LTD.
500097,Dalmia Bharat Sugar and Industries Ltd
500101,ARVIND LTD.
500103,BHARAT HEAVY ELECTRICALS LTD.
500104,HINDUSTAN PETROLEUM CORPORATION LTD.
500106,IFCI LTD.
500108,MAHANAGAR TELEPHONE NIGAM LTD.
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.
500110,CHENNAI PETROLEUM CORPORATION LTD.
500112,STATE BANK OF INDIA
